Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas54               Pavarde54                      1         2         3         2         6        10         5         3
Vardas55               Pavarde55                      1        10         1         7         5         8         2         2
Vardas56               Pavarde56                      5         2         8         4         1         4         7         9
Vardas57               Pavarde57                     10         7         7         9         3         4         3         3
Vardas58               Pavarde58                      8         3         4         6         9         3         4         7
Vardas59               Pavarde59                      6         8         2         5        10         3         1         3
Vardas60               Pavarde60                      8         3         1         3         3         7         7         1
Vardas61               Pavarde61                     10        10         8         3         9         7         1         9
Vardas62               Pavarde62                      1         4        10         1         5         3         3         4
Vardas63               Pavarde63                      2         3        10         4         7         5        10         7
Vardas64               Pavarde64                      3         9         6         5         2        10         9         4
Vardas65               Pavarde65                      2         1         6         8         4         6         8         8
Vardas66               Pavarde66                      9         4        10         8         9         2         9        10
Vardas67               Pavarde67                      4         4         3         6         9         1         3         7
Vardas68               Pavarde68                      6         2         3         2         1         6         7         4
Vardas69               Pavarde69                     10         9         4         8         2         9         8         8
Vardas70               Pavarde70                      6         1         6         9         3         4         3         8
Vardas71               Pavarde71                      6         2         8         2         9         1        10         2
Vardas72               Pavarde72                      6         6         2        10         9         7         9        10
Vardas73               Pavarde73                      4         4         9         8         9         2         8         4
Vardas74               Pavarde74                     10         2         5         5         1         7         3         7
Vardas75               Pavarde75                      3        10         2         6         9        10         7         8
Vardas76               Pavarde76                      5         7         7         4        10         2         9         5
Vardas77               Pavarde77                      3        10         1         1         1         6         2         2
Vardas78               Pavarde78                      3        10         8         7         9         2         6         4
Vardas79               Pavarde79                      4         3        10         7         1         9         3         7
Vardas80               Pavarde80                      7         2         8         3         7        10        10         7
Vardas81               Pavarde81                     10        10         5         3         2         2         2         6
Vardas82               Pavarde82                      2         7         3         2         2         8         8         7
Vardas83               Pavarde83                      7         5         2         1         8         4         7         1
Vardas84               Pavarde84                      9         4         8         6         9         3         8         9
Vardas85               Pavarde85                      6        10         3         4         8         5         4         4
Vardas86               Pavarde86                      8         7         3         8         5         8         9         6
Vardas87               Pavarde87                      1         1         4         1         7         8         2         7
Vardas88               Pavarde88                      7         1         1         1         9         3         3         1
Vardas89               Pavarde89                      9         9         3         1         4         2         5         7
Vardas90               Pavarde90                      3         7         4         9         7         8         1         8
Vardas91               Pavarde91                     10         5         3        10         1         8         4         8
Vardas92               Pavarde92                      5         1         8         2         3         6         8         5
Vardas93               Pavarde93                      3         8         1         8         3         4        10        10
Vardas94               Pavarde94                      2         4         4         9         8         8         2         8
Vardas95               Pavarde95                      8         7         1         5         4         6        10         7
Vardas96               Pavarde96                      2         4         1         1         6         7         4         2
Vardas97               Pavarde97                      9         9         8         8         5         5         1         8
Vardas98               Pavarde98                      3         4         8         7         1         1         4         6
Vardas99               Pavarde99                      2         6         1         2         3         5         7         7
Vardas100             Pavarde100 
