Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      ND18      ND19      ND20      Egz.
Vardas25               Pavarde25                      5         8         5         6         1         2         2         9         4        10         9         8         1         1         9         3         8         1         2         1         8
Vardas26               Pavarde26                      9         8         9        10         2         6         5         2         7        10         3         5         3         4         8         9         8         3         6         5         6
Vardas27               Pavarde27                      3         8         9         3         1         1         7         8         4         4         6         1         4         8         7         6         7         8         2         5         8
Vardas28               Pavarde28                      2         9        10        10         1         7         9         4         3         1         8         7         8         5         2         1         8         9         4         2         1
Vardas29               Pavarde29                      3         9         2         5         5         8        10         6         8        10         2         6         1        10         3         7         6         3         5        10         6
Vardas30               Pavarde30                      1        10         9         2         9         2         2         1         6        10        10         4         4         9         3         1         4         4         7         6         9
Vardas31               Pavarde31                     10         1         1         3         8         9         1         8         6         9         7         6         8         5         7         3         7         5        10         6         8
Vardas32               Pavarde32                      3         8        10        10         6         4         8         9         9         2         4         5         3         2         8        10         6         3         9         1         4
Vardas33               Pavarde33                      2         3         1         1         1         9         3         6         8         6         8         5         9         1         5         7         7         4         2         6         8
Vardas34               Pavarde34                      8         7         6         2        10         1         7        10         2         2         8         8         6         9         5        10         8         2         3         4         4
Vardas35               Pavarde35                      2         3         3         6         1        10         3         4         1         8         7         9         8         6         3         4         2         7         5         8         4
Vardas36               Pavarde36                      3         4         9         6         9         8        10         5        10         3         1         2         3         7         7         8        10         2         3         4         3
Vardas37               Pavarde37                      6         5         8         3         3         9         4         6        10         4         6         2         5         7         8         2         5         3         8         6         5
Vardas38               Pavarde38                      5         9         5         1        10         9         3         7         2         1        10         6         4         6         1         9         2         8         6         1         3
Vardas39               Pavarde39                     10         3         3         7         7         7         6         6         7         9         4        10         4         9         5         7        10         3         7         2         4
Vardas40               Pavarde40                      7         5         3         4         8         4         9        10         8         6         3         5         5         3         2         9         8         7         3         7         9
Vardas41               Pavarde41                      9         2         2         2         8        10         2         4         9        10         4         8         4         8         4         4         3         1         4         3         2
Vardas42               Pavarde42                      7         4         6         4         9         4         2         3         9         5         8         5         4         5         5         3         4        10         1         7         8
Vardas43               Pavarde43                      4         1         4         3         9         1         9         1         2         5         4         8         6         4        10         1         1        10         8         6         4
Vardas44               Pavarde44                      9         3         7         1         6         4         6         7         4         9         4         4         9         2         4         7         2         7         8         7         9
Vardas45               Pavarde45                      1         9         5         8         3         3        10        10         1         7         6         7         2         9         3         6         7         8         1         5         6
Vardas46               Pavarde46                      5         1         2         1         9         1         8         7         9         7         9         6         5         2         5         9         2        10         7        10         6
Vardas47               Pavarde47                      6         5         1         6         7         6         7         5        10         3         4        10         5         2         4         2         7        10         8         6        10
Vardas48               Pavarde48                      8         5         2         4         8         7        10         7         6        10         3         9         7         6         6         2         9         1         7         7         8
Vardas49               Pavarde49                      5         1         1         5         7         9         4         7         6         1         8        10         2         3         9         9         4        10         7         7         7
Vardas50               Pavarde50                      8         3         5        10         3        10        10         6         4         7         6        10        10         9         3         3         5         9         8         5         5
Vardas51               Pavarde51                      9         4         4         6         1        10         5         4         9         1         6         9         1         8         2         1         2         2         1         4         3
Vardas52               Pavarde52                      5         1         8         5         4         9         2         8         5         8         6         6         5         6        10         4        10         7         3         3         6
Vardas53               Pavarde53                      4         7         6         3         2         5         7         3         8         7         7         4         7        10         3         9         3         2         9         6         1
Vardas54               Pavarde54                      3         8         5         2         7         5         5         6         1         7         8         1         8         2         5         7         9         8         3         5        10
Vardas55               Pavarde55                     10         9         1         2        10         8         1         7         2        10         2         8         9         4         3         4         8         7         3         6         6
Vardas56               Pavarde56                      5         9         9         3         3        10         8         7         1         6         6         4         2         8         3         6         8         8        10         8         1
Vardas57               Pavarde57                      9         2         2         7         4         5         9         6         4         4         4         6         8         4        10         5         3        10         4         7         2
Vardas58               Pavarde58                      9         8         9         2         6         5         4         2         6         5         7         6         6         2         6         2         9         5         7         7         4
Vardas59               Pavarde59                      9         9         6         3         8         9         2         4         5         5        10         6         6         4        10         9         9         9         5         5         2
Vardas60               Pavarde60                      8         5         1        10         9         5         8         7        10         5         5         9         6         6         4         2         6        10         1         6         9
Vardas61               Pavarde61                      4         2         6         9         2         2         9         5         6         8         3         5         4         1         8         5        10         7        10         9         4
Vardas62               Pavarde62                      2         6         8         7        10        10         3         9         1         3         6         8        10         9        10         4         1         7        10         3         9
Vardas63               Pavarde63                      2         3         4         7         2         4         1        10         9         2         4         5         1         5         4         1         6         8         8         5         8
Vardas64               Pavarde64                      9         8         2         7         4         5         1         7         6         4         9         9         8         5         2         2         4         9         2         8         4
Vardas65               Pavarde65                      6         6         9        10         8         5         6         9        10         1         4         1         3         3         7         3         3         2         9         2        10
Vardas66               Pavarde66                      1         3         6         7         9         5         5         8         3         4         1        10         8         7         6         5         8        10         7         6         8
Vardas67               Pavarde67                      6         8         5         8         1         9         7         5         1         5         6         9         2         1         7         9         8         9         2         6         7
Vardas68               Pavarde68                      4         9         2         4         3         4         5         4         3         6         7        10         3         7         9         9         5         9         3        10         1
Vardas69               Pavarde69                      7         1         7         8         1         9         6         2         4         7         4         1         6         5         4        10         5         8         1         1         1
Vardas70               Pavarde70                      2         4         4         1         2         6         2         2         9         2         6         1         7         6         6         2         3         5         1         5         1
Vardas71               Pavarde71                      1         8         5         1         4         4         9         6         3         6         7         8         1         6         7         5         7         9         5         5         5
Vardas72               Pavarde72                     10         7         5         6         3         7        10        10         2         1         1         3         9         1         4         8         8         6         6         7         3
Vardas73               Pavarde73                      4        10         2         9         5         6         4         7         9         3         5         3        10         5         8         9         8         7         1        10         6
Vardas74               Pavarde74                      1         7         2        10         2         2         6         2         1         8         2         2         1         9         5         1        10         6         1         7         7
Vardas75               Pavarde75                      1         9         5         3         7         1         6         6         2         6         9         4         1         3         4         4         6         5         2         5        10
Vardas76               Pavarde76                     10         1         6         5         9         2         4         4        10         6        10         5         9         1         6         8         9         8         4         5         3
Vardas77               Pavarde77                      1         1         8         6         8         4         8         7         7         3         4         5         9         5         4         6         2         5        10         9         7
Vardas78               Pavarde78                      4         7         9         5         8         1         3         7         3         8         2         6         3         2         6         6         3        10         5         6         8
Vardas79               Pavarde79                      9        10         1         5         8         5         2         4         9        10         9         6         3         3         2         4        10         8         6         4         6
Vardas80               Pavarde80                      2         2         4         3         2        10         7         6         3         4         3         2         5         8         6         2         4         9         6         1         7
Vardas81               Pavarde81                      6         3         9         5         8         7         4        10         9         8         1         4        10         7         6         8         6         3         1         9         7
Vardas82               Pavarde82                     10         4        10         7         3         1         8         4         6         9        10         9        10         5         1        10         8         8         5         9         1
Vardas83               Pavarde83                      5         4         2         7         7        10        10         6         6         2         5         7         4         2         2         9         4         8         9         8         1
Vardas84               Pavarde84                      4         2         2         7         9         2        10         8         4         5         1         9         1         4         9         3         7         8         9         6         6
Vardas85               Pavarde85                      1         3         6         7         4         1         6         7         9         9         6         5         5         1         6         3         5         4         2         8         6
Vardas86               Pavarde86                      4         6         8        10         3         9         6         9         8         4        10        10         5         8         7         1         8         3         4         7         9
Vardas87               Pavarde87                      8         2         1         6         8        10         2         9         7         4         9         7         4         1         4         6         4         1         3         7         8
Vardas88               Pavarde88                      1         1         3         2         4        10         9        10         3         1         2         4         6         6        10         9         9         7         8         3         7
Vardas89               Pavarde89                      2         4         3         9         9         6         7        10         9        10         8         4         4        10         6         8         5         7         5         7         6
Vardas90               Pavarde90                      1         7         2        10         5         2         8         6         8         7        10         8         8         9         2        10         7         3         6         7         6
Vardas91               Pavarde91                      1         5         6         3         8         2         7         2        10         2         8         7         1         6         7         3         5         6         1         4         2
Vardas92               Pavarde92                      9         4         5         7         9         1         9         4         2         6         6         5         5         2         9         7         7         5         1         8         7
Vardas93               Pavarde93                     10         9         4        10        10         6         7        10         3         6         9         7         2         4         5         5         8         2        10         5         8
Vardas94               Pavarde94                      6         1         1         4         7         3         9         9         3         7         9         8         4         6         1         5         1         3         1         6         8
Vardas95               Pavarde95                      1         1        10         9        10         5         9         6         6         9         4         6         6         2         1        10         7        10         4         2         8
Vardas96               Pavarde96                      6         7         2         4        10        10         1         6        10         2         7         1         2         2         5         6         2         1         5         7         6
Vardas97               Pavarde97                      1         1         1         1         3         2         1         5         7        10         9         3         2         5         5         7         3         4         5         4         7
Vardas98               Pavarde98                      4         5         8         1         3        10         7         5         8         8         7        10        10         2         9         6         6         5         5         6         4
Vardas99               Pavarde99                      6         4         2         6         1         1         2         4         6         2         8        10         5         5         5         5         7         2         1         3         8
Vardas100             Pavarde100                      1         5         5         5        10         6         3         1         9         5         5         1         7         8         7         2         4         5        10         6         4
Vardas101             Pavarde101                      9         4         8         5         1         8         7         7         4         2         4         3         9         9         1         4         1         5         3         1         9
Vardas102             Pavarde102                     10         3         8         2         4         2        10         8         9         7         1         7         7         5         5         7         7         1         9         2        10
Vardas103             Pavarde103                      3        10         5         5         2        10         6         1         8        10         1         5         9        10         1         5         1         1        10         1         5
Vardas104             Pavarde104                      8        10         7         5         2         2         5         2        10         7         1         5         7         8         9         8         4         9         7         7         8
Vardas105             Pavarde105                      9         4         7         1         1        10         5         2         2        10         9         7         2        10        10         7         3         3         7         2         8
Vardas106             Pavarde106                      5         8         4         5         1         9         5        10         6         7         7         9         9         9         9         5         3         2         7         9         9
Vardas107             Pavarde107                      2         3         9         2         9         7         2         1         2        10         6         3        10         6         6         5         7         4         4        10         9
Vardas108             Pavarde108                     10        10         6         1         3         5         7        10         8         3         1         5         3         4         3         8         5         1         8         9        10
Vardas109             Pavarde109                      5         9         2         7         4         7         7         5         6         2         7         6         4         5         5        10         3         7         5         1         4
Vardas110             Pavarde110                      1         7         8         9         2         9         5         3         4        10         3         7         6         7        10        10         9         6         8         4         1
Vardas111             Pavarde111                     10         6         4         2         6         6         9         1         5         9         4         8         8         3         9         5        10         6         5         5         5
Vardas112             Pavarde112                      2         8         1         8         7        10         1         1         9         1         5         9         4         2         6         1         8        10         6         8         6
Vardas113             Pavarde113                      7         8         1         2         8         9         5         9         2         8        10         5         6         8         3         6         9         1         3         2         6
Vardas114             Pavarde114                      9         2         9         6         3         1         9         9        10         1         8         5         8         7        10         8         9         7         2         4         6
Vardas115             Pavarde115                      1         6         2         8         4         8         4         1         7         4         1         9         5         6         5         1         4         8         7         4         4
Vardas116             Pavarde116                      6         8         8         8         6         4        10         4        10         3         6         9         8        10         1         8         3         7         9         2        10
Vardas117             Pavarde117                      7         8         6         5         4         2         3        10         1         1         3         6         8         5         3         1         3        10         4         5        10
Vardas118             Pavarde118                      4         9         8         4         9         4        10        10         1         8         4         2         1         6        10         2         4         9         6         4         9
Vardas119             Pavarde119                      8         9         4         9         6         5         6         6        10         7         1         9         7        10         3         2        10         6         8         6         2
Vardas120             Pavarde120                      1         7         7        10         3         4         3         3         5        10         4         9         1         2        10         2         4         1         9         7         6
Vardas121             Pavarde121                      8         2         3        10         3         5         7        10         9        10        10         9         4         3         5         8         7         2         9         8         1
Vardas122             Pavarde122                      7         3         9         9         9         6         6         4         8         3        10         2         9         2         8         4         1         3         2         5         8
Vardas123             Pavarde123                      3         9         6         3         6         1         8        10         6         4        10         7         2        10         4         8         5         3         2         2         8
Vardas124             Pavarde124                      8         2         7         3         8         7         9        10         8         6         8         5        10         3         2         5         3         3         4         7         2
Vardas125             Pavarde125                      5         4         7         3         4         2         6         3         7         5         7        10         8         2         1         5         4         6         1         3        10
Vardas126             Pavarde126                      6         6         6         4         5         7         5         8         7         9         4         5         7         1         7         8         9         6         2         7         7
Vardas127             Pavarde127                     10        10         4         3         3         6         3         6         9         5         1         5         1         6         8         1         3         5         1         8         7
Vardas128             Pavarde128                      5         1         4         6         1         1         2         3         1        10         5         2         9        10         3         7        10         4         5        10         7
Vardas129             Pavarde129                     10         3         4         3         4         8         2        10         4         2         1         8         9         8         7         8         9         6         5         2         7
Vardas130             Pavarde130                      5         2         5         2         3        10         7         4         5         7         2         7         8         3         7         5         8         3         3         7        10
Vardas131             Pavarde131                     10         5         8         4         1         5        10         6         8         9         2         5         6         3         9         5         4         4         8         3         7
Vardas132             Pavarde132                      3        10         6         9         6         1         3         8         7         4         5         7         6         9         5         8         5         4         8         8        10
Vardas133             Pavarde133                      2         8         7         1         5         8         5        10        10         4         7         3         5         4         1         6         3         8         3         4         2
Vardas134             Pavarde134                      3         2         7         4         2         2         8         8         2         2         4         8         5         6         5         5        10         9         2         4         7
Vardas135             Pavarde135                      9         8         8         1        10         1         2         2         6         7         6         5        10         4         6         7         1         5         9         3         5
Vardas136             Pavarde136                      9         7         5         5         2         6        10         4         3         7         6         3         2        10         5         9         1         2         8         6         7
Vardas137             Pavarde137                      9         6         2         2         9        10         8        10         1         3         3         8         3         3         1         8         9         3        10         9         1
Vardas138             Pavarde138                      6         9         3         7         2         7         1         1         4         2         2         5         3         4         2         7         5         3         7         2         8
Vardas139             Pavarde139                      6         7         2         6         6         4         9         7         1         3         6         6         8         1         1         8         1         3         6         1         2
Vardas140             Pavarde140                      6         5         5         2         4         6         6         7         9        10         5         4        10        10         7         4         5         7         2         6         1
Vardas141             Pavarde141                      4         7         8         9         9         2         2         3         2         8         3         8         7         9         7         2        10         7         3         9         3
Vardas142             Pavarde142                      5         5         5         4         6         5         1         9         6         4         4         6         9         2         7         9         4         8         9         3         5
Vardas143             Pavarde143                      9        10         2         5         1         3         1         9         7         5         7         4        10         5         2         7         6         1        10         7         9
Vardas144             Pavarde144                      2         4         6         4         3         8         2        10         4         7         3         9         2        10         9         2         3         6        10         6         9
Vardas145             Pavarde145                      9         3         8         2        10         7         2         1         8         3         4        10         3         3         1         6         4         8         6         7         6
Vardas146             Pavarde146                      8        10         9         9         4         1         4         3        10        10         4        10         2        10         8         6         5         8         3         7         6
Vardas147             Pavarde147                      7         8         5         3         7         7         5        10        10         7         2         4        10         5         1         5         2         6         6         3         9
Vardas148             Pavarde148                      8         7         4        10         9         4        10         6         3         7         8         8         3         2         3        10         5         3         2         3         4
Vardas149             Pavarde149                     10         5         6         6         3         4         3         2        10         3         6         8         4        10         8        10         3         1         2         5         6
Vardas150             Pavarde150                      6         2         1         7         8         3         5         3         1         3         7         7         8         3        10         9         6         1         8         9         5
Vardas151             Pavarde151                      5        10         8         2         9         3         5        10         8         1         9        10         4         6         1         4         4         3         3         5         8
Vardas152             Pavarde152                      1         8         1         2         2         9         4         1         5         1         9         6         6         1         1         5         9         2         7         1         2
Vardas153             Pavarde153                      1         3         3        10         2         4        10         2         2         2         2         4         5         9         7         1         7         4         4        10         7
Vardas154             Pavarde154                     10         6         9         3         7         4         8        10         1         5         1         3         6         2         1         9         1         5         9         9         1
Vardas155             Pavarde155                      7         7         5         8         4        10         5         8         7         9         1         1         5         6         1        10         1         3         6         1         2
Vardas156             Pavarde156                      8        10         4        10         8         1         5         8         5         5         3         4         5         9        10         7         4         8         8         9         4
Vardas157             Pavarde157                      4         6         2         5         4         8         2         4         7         7         7         8         7         3         3         1         2         8         3         1         2
Vardas158             Pavarde158                      8         4         8         6         5         4         6         9        10         9         4         4         6         6         4         2         8         2         4         9         7
Vardas159             Pavarde159                      9         8        10        10         2         4         1         4         5         9         5         3         5         8        10         7         4         1         3         5         1
Vardas160             Pavarde160                      8         6         8         1         3         4         1         6         5         1         6         5        10         5         5         4         3         9         5         5         9
Vardas161             Pavarde161                      1         4         1         8         7         4         9         5        10         4         7         9         4         8         8         9         9         7         3        10         3
Vardas162             Pavarde162                      7         5         1         7         2        10         9         4         6         2         7        10         6         4         5         4        10         1         2         6         2
Vardas163             Pavarde163                      6         5         7         4         4         6        10         2         1         6         4         5         4         9         5         3         2         7         7         9         4
Vardas164             Pavarde164                      7         9         1         3         3         1         6         4         8         7         5         3         1         4         7         7         5         1         2         2         1
Vardas165             Pavarde165                      7         4        10         6         6         7         7        10         7         2         4         2         3         6         5         8         4         7         9         7         1
Vardas166             Pavarde166                      7         3         5        10         4         3         3         5         6         9         7         8        10         4        10         8         6         1         7         6         5
Vardas167             Pavarde167                      6         5         6         4         3         5         1         1         9         2        10         7         9         2         2         2         4         4         8         2         1
Vardas168             Pavarde168                      1         3        10         6         1         2         9         5         1         6         3         5         2         3         7         7         6        10         7         6         8
Vardas169             Pavarde169                      1         5         7         3        10         7         3         1         4         6         1         2         2         4         1         8         2         5         3         4         4
Vardas170             Pavarde170                      6         6         1         9         3         7         2        10         1         4         7         5         1         3         8         2         5         5         4         6         7
Vardas171             Pavarde171                      5         7         2        10         9         8         5         2        10         4         5        10        10         1         9         6         6         2         9         5         3
Vardas172             Pavarde172                      3         3        10         2         8         4         3         3         3         1         3         3         2         6         9         5         8         3         2        10         4
Vardas173             Pavarde173                      1         7         7         9         3         6         1         2        10         3         2         9         4        10         1         2         1         3         2         9         2
Vardas174             Pavarde174                      1        10         8         4         3         5         7         7         1         8         3         7         4         1         3        10         3         9        10         7         1
Vardas175             Pavarde175                      7        10         5         9         3         1         7         1        10         8         7         2         7        10         3         8         8         2         1         8         1
